RewardSize,AnimalResponse,ToneCloudDurSec,Pupil,runSpeed,LickwrtTrialStart
1,1,1.82,0.550199920119593,0,NaN
1,1,3.02,0.523586836868207,0,NaN
1,1,1.68,0.453466923455528,0,NaN
1,1,2.74,0.359264281985299,0,NaN
1,1,5.26,0.341567175326372,0,NaN
1,1,0.74,0.462150486648725,0,NaN
1,1,2.08,0.33242326218136,0,NaN
1,1,1.34,0.312995991390609,0.000228145710236021,NaN
1,1,0.46,0.31231586565807,-0.000228145710236021,NaN
1,1,0.7,0.297319787924042,0,NaN
1,1,1.8,0.324521576722636,0,NaN
1,1,0.04,0.314391459867667,0,NaN
1,1,1.36,0.292508416732576,-0.000245695380254177,NaN
1,1,2.98,0.291017368846562,-0.000228145710236021,NaN
1,1,5.26,0.315999414320035,-0.000228145710236021,NaN
1,1,1.92,0.318089275134406,0.000245695380254177,NaN
1,0,1.26,0.298775985473008,0,3.74202576
1,0,2.76,0.362059638724098,0.000228145710236021,3.7616238
1,2,1.40664833820209,0.474421924570989,0,1.39026096
1,2,11.1212196973419,0.219423753954035,0,11.1098889
1,3,14,0.38048472737908,0.000456291420472043,NaN
1,1,1.38,0.290415321114835,0,NaN
1,1,3.38,0.255568996913318,0,NaN
1,1,2.74,0.230713261300153,0,NaN
1,1,2.62,0.426129588714208,-0.00182516568188817,NaN
1,1,5.34,0.28239583340008,0,NaN
1,1,0.54,0.231917025957419,0,NaN
1,2,3.73006748388913,0.206034132191406,0.000245695380254177,3.71439519
1,1,2.14,0.205393328894691,0,NaN
1,1,0.28,0.192135921764188,0,NaN
1,1,0.2,0.201882540080988,0,NaN
1,1,1.66,0.17972412854925,0.000245695380254177,NaN
1,1,2.04,0.183404382945177,0,NaN
1,1,9.88,0.407378788715548,0,NaN
1,0,2.66,0.2136384750111,0,3.91910805
1,0,0.42,0.294900726880605,0,0.72762723
1,0,1.86,0.245983182686789,0,2.29337064
1,2,0.145963509152456,0.256113712352743,0,0.13295337
1,2,6.26543364286604,0.187588506709874,0.000245695380254177,6.25197474
1,0,8.54,0.199513130529922,0,9.63640292999999
1,2,0.386903274260277,0.326782635087026,0,0.37106289
1,0,0.72,0.223710351362752,0,1.29727026
1,2,1.00174956281343,0.530822852709363,0.0968039798199969,0.987634559999999
1,1,0.54,0.408624322569292,0,NaN
1,1,1.48,0.403203090482891,0,NaN
1,3,14,0.331766919332928,0,NaN
1,1,0.08,0.259157431576638,0,NaN
1,1,3.78,0.225557247187233,0,NaN
1,3,14,0.231625884125419,0,NaN
1,1,4.1,0.201657487255615,0,NaN
1,1,9.56,0.308692072753461,0,NaN
1,1,0.44,0.19614738458967,-0.000245695380254177,NaN
1,1,3.04,0.225225462932659,0,NaN
1,1,4.4,0.183870154218017,0,NaN
1,1,2,0.20636139688696,0,NaN
1,1,0.18,0.226371019450063,0,NaN
1,1,4.14,0.221529228155974,0,NaN
1,1,0.1,0.229744262500666,0,NaN
1,0,4.66,0.218875904284443,0,7.35799746
2,0,0.18,0.196136985074276,0,1.6615005
2,2,1.11572106995987,0.29254134818307,-0.000228145710224494,1.09605705
2,0,1.72,0.228916359063619,0,1.73625969
2,2,0.535866033600797,0.295004370382345,0,0.52051461
2,2,1.45363659114843,0.239448313970271,0,1.4401893
2,0,3.26,0.20093531760272,0,3.73076022
2,2,0.620844788929282,0.26659522718643,0,0.60820584
2,0,1.82,0.227659772550691,0,2.1807819
2,2,0.123969007773319,0.191180169371606,0,0.11025564
2,2,0.0309922519433297,0.181089129799718,0.0152857625857789,0.01929807
2,2,1.81354661371613,0.228854130857449,0.000228145710236021,1.80145317
2,1,2.06,0.178018382255166,0,NaN
2,0,2.5,0.228831878051481,0,3.30373626
2,1,3.58,0.311376596717595,0,NaN
2,0,3.04,0.208514035492802,0,3.53094687
2,2,4.54686328510527,0.295131065545962,0.000228145710236021,4.52684727
2,2,0.982754311622358,0.235319256902275,0,0.965703419999999
2,2,0.601849537738209,0.190891221275903,0,0.59014098
2,3,14,0.132294281131203,0,NaN
2,2,0.529867533224669,0.213267886858942,0,0.51608172
2,0,0.1,0.203433549870093,0,0.6622671
2,2,0.615846038615842,0.317642915741544,0.000228145710236021,0.59814018
2,2,4.6198450396815,0.173645904204547,0,4.60190643
2,0,0.04,0.244025228341535,0,0.50188314
2,2,0.280929767615343,0.550861647262557,0.0648635803869912,0.26367363
2,0,0.2,0.400684097180891,0,0.948271829999999
2,0,1.32,0.3769608345602,0.000228145710236021,1.63886943
2,2,2.0004998754388,0.303131060915719,0,1.98456819
2,0,0.46,0.300452067819215,0,0.967236599999999
2,2,7.81204698984446,0.221249192539359,0,7.79442048
2,1,2.88,0.191042630638575,0.000245695380254177,NaN
2,0,0.46,0.182966572727453,0,1.08059193
2,2,0.344913771627379,0.195017587806839,0,0.32616738
