RewardSize,AnimalResponse,ToneCloudDurSec,Pupil_1,Pupil_2,Pupil_3,Pupil_4,Pupil_5,Pupil_6,Pupil_7,Pupil_8,Pupil_9,Pupil_10,Pupil_11,Pupil_12,Pupil_13,Pupil_14,Pupil_15,Pupil_16,runSpeed_1,runSpeed_2,runSpeed_3,runSpeed_4,runSpeed_5,runSpeed_6,runSpeed_7,runSpeed_8,runSpeed_9,runSpeed_10,runSpeed_11,runSpeed_12,runSpeed_13,runSpeed_14,runSpeed_15,runSpeed_16,LickwrtTrialStart,ITIinseconds
1,1,1.82,0.552806211152257,0.552286425139785,0.551870040169494,0.551608926323279,0.551563378210961,0.551738122852593,0.552002929886163,0.5521896770072,0.552264590754406,0.552270780085297,0.552064924841635,0.551286705260222,0.549707133831733,0.547452972222989,0.544799630769433,0.541979069458895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1.82
1,1,3.02,0.502053619783085,0.50522914627521,0.508916370220396,0.512321776627506,0.515009883969859,0.517127886217151,0.519032539489935,0.520913444026624,0.522784183416667,0.524637110500792,0.526500285736451,0.528410205539652,0.530401972330903,0.532507496738335,0.53471310292147,0.536939458419155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,3.153684
1,1,1.68,0.46781977472558,0.466940011796046,0.465355998217372,0.463692764375341,0.462308168176926,0.461112517774182,0.459907740362009,0.458695698757919,0.457538594801269,0.456170920094141,0.454001326120342,0.450735779894957,0.446901434450249,0.443485993572442,0.441063214275827,0.439455852266258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,2.931708
1,1,2.74,0.366076963709476,0.365697930740431,0.364701296072708,0.363314396932933,0.36185172661499,0.360487080833753,0.359376913676822,0.358834763405561,0.359130650809054,0.360081118891514,0.360951070187986,0.360887511613549,0.359572313101694,0.357442818259071,0.355212745108617,0.353292556373347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,2.851714
1,1,5.26,0.346477469102392,0.346882861827521,0.346655181002066,0.345647305974674,0.344434047506806,0.343934586854793,0.344554706715464,0.345600199756289,0.345727396000595,0.344119986673903,0.341202156183248,0.338255807103657,0.336446068733252,0.33609603577552,0.336715159166442,0.337639822798189,-0.0031940399433043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,2.98970600000001
1,1,0.74,0.428853770373568,0.43484956659632,0.440851861865348,0.445944966100487,0.449562002685866,0.452050175781874,0.454395579035387,0.45746023556869,0.461401639878417,0.465610666606923,0.469227014291046,0.471839872982131,0.473657721292175,0.475042664038381,0.476122985385096,0.476939427570334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,2.977703
1,1,2.08,0.333501345621641,0.333729717824667,0.333588055669379,0.333450081450225,0.333678378670611,0.334346853372611,0.335136710882675,0.33556233658242,0.335361143020768,0.33460956602012,0.33349346770715,0.332128310862,0.330597951127801,0.328988853725518,0.327339313285135,0.325644648162624,0,0,0,0,0,-0.0031940399433043,0,0,0,0,0.0031940399433043,0,0.0031940399433043,0,-0.0031940399433043,0,NaN,2.275772
1,1,1.34,0.313401349857849,0.31321280019478,0.313218721045899,0.313377019844602,0.313653439312253,0.314054444343769,0.314547574343681,0.314965091604268,0.315066340100886,0.314728842284283,0.314013028939495,0.313026628036165,0.31185213479057,0.310649917408302,0.30968007711887,0.309110620295479,0,-0.0031940399433043,0,0,0,0,0.0031940399433043,0,0.0031940399433043,0,0,-0.0031940399433043,0,0,0,0,NaN,3.17168400000001
1,1,0.46,0.310693201985142,0.31112757845777,0.31219425976658,0.313273086009233,0.313720944821574,0.313347930449471,0.3125870839345,0.312136140827759,0.312331510672287,0.312865728660853,0.313124610803906,0.31276308457737,0.311942833055447,0.311099808800731,0.310577185505927,0.31045791132734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0031940399433043,0,NaN,2.69573
1,1,0.7,0.302278881684735,0.301934473230605,0.301813388957402,0.30160458678206,0.300920031671115,0.299633532364735,0.298120522094536,0.297029305488128,0.296693309903188,0.296814212941589,0.296775915590592,0.296212570942091,0.295247414934033,0.294293779515035,0.29371308286605,0.293605376886031,0,0,0,0,0,-0.0031940399433043,0,0,0,0,0,0,0,0,0.0031940399433043,0,NaN,3.47165
1,1,1.8,0.309525693153844,0.312219629889839,0.315552781449398,0.318651516677582,0.321110159133191,0.323114819039271,0.324819122769935,0.325967922873397,0.32630196914998,0.326042281173821,0.325711865947892,0.325651875219739,0.325947475849024,0.326685388194589,0.327989569870095,0.329755326768988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,3.19168000000001
1,1,0.04,0.313910942182403,0.313929745263676,0.313777594576513,0.313518614956216,0.313161741835062,0.312730031710362,0.312359181162184,0.312246135890859,0.312494506116146,0.313082151673284,0.31397492331918,0.315131245504142,0.31635202034196,0.317283458531016,0.317688551841091,0.317680280689324,0,0,0,0,-0.0031940399433043,0,0,0,0,0,0.0031940399433043,0,0.0031940399433043,0,-0.0031940399433043,0,NaN,3.153685
1,1,1.36,0.295859193310806,0.295177326658269,0.294853955077465,0.294904186068134,0.295246294405506,0.295551635826204,0.295401595631236,0.294628506361203,0.293455243495707,0.292256721315533,0.291256539580277,0.2905073829447,0.290028002002443,0.289809116062195,0.289760328640639,0.28980386518971,0,0.0031940399433043,0,-0.0031940399433043,0,0,0,0,0,0,0,0,0,0,0,0,NaN,3.13369
1,1,2.98,0.289723872222155,0.289686980983218,0.289741347721868,0.289897422574243,0.290212742882911,0.290701719597288,0.291350474463413,0.292102457674116,0.292754999350478,0.292994131247513,0.292659859921503,0.291907919440268,0.29102020521938,0.290136378392101,0.28923274430535,0.288254739936742,0,0,0,0,0,0,0,0,0,0,0,0,-0.0031940399433043,0,0,0,NaN,2.85372
